X,Y,Z
360,110,10
360,250,9
360,450,8
260,330,7
150,180,7
160,175,11
150,160,15
150,155,14
150,150,21
150,145,21
145,140,16
180,125,29
180,115,22
180,105,14
200,105,11
220,105,7
220,110,5
220,160,1
220,170,10
215,155,4
